,number,value,datetime_start,datetime_complete,duration,params_cnr,params_dnr,params_dropout,params_dropout2d,params_learning_rate,params_weight_decay,state
0,0,0.6696426216512918,2026-06-14 15:36:19.676792,2026-06-14 15:48:09.320616,0 days 00:11:49.643824,4.0,4.0,0.0708281304280944,0.3799175828886843,0.0006791859272857453,0.0002935569724907068,COMPLETE
1,1,0.5782694239169359,2026-06-14 15:48:09.322462,2026-06-14 15:53:38.154475,0 days 00:05:28.832013,2.0,0.5,0.039794231080781284,0.5159261454701405,0.0006714818656892862,0.0008215751581876212,COMPLETE
2,2,0.6859261989593506,2026-06-14 15:53:38.156310,2026-06-14 16:05:28.841703,0 days 00:11:50.685393,4.0,4.0,0.25760392436897545,0.2637159504844638,1.0169701285822293e-05,0.0017757922900843786,COMPLETE
3,3,0.6781027615070343,2026-06-14 16:05:28.842953,2026-06-14 16:08:56.206588,0 days 00:03:27.363635,1.0,0.25,0.21176415940859822,0.2988941951822594,0.00013792746548077527,0.005739955217296977,COMPLETE
4,4,1.2039085254073143,2026-06-14 16:08:56.208720,2026-06-14 16:11:48.262647,0 days 00:02:52.053927,0.25,1.0,0.14166673278453779,0.491841891535882,1.9786005473900592e-05,0.006241533546976157,COMPLETE
5,5,1.8104943111538887,2026-06-14 16:11:48.264778,2026-06-14 16:13:19.860614,0 days 00:01:31.595836,4.0,0.25,0.7079121156808907,0.04616761426134788,1.8881545689456076e-05,0.0007846922600557933,PRUNED
6,6,1.0185967907309532,2026-06-14 16:13:19.862175,2026-06-14 16:14:57.757996,0 days 00:01:37.895821,4.0,4.0,0.695932104222066,0.0016915377333138304,8.448217956630813e-05,0.00013739696391450683,PRUNED
7,7,1.194119654595852,2026-06-14 16:14:57.759401,2026-06-14 16:15:26.842329,0 days 00:00:29.082928,1.0,0.5,0.09947806618113493,0.1579085021547389,3.7074200639825844e-05,0.005794629235996082,PRUNED
8,8,1.8988655135035515,2026-06-14 16:15:26.843781,2026-06-14 16:15:51.681927,0 days 00:00:24.838146,0.5,1.0,0.24884545546344417,0.3601084142065909,0.01584487775934613,0.00032304983736783106,PRUNED
9,9,1.284658133983612,2026-06-14 16:15:51.682692,2026-06-14 16:16:15.395614,0 days 00:00:23.712922,0.25,0.25,0.03464114737893036,0.5203944574925476,0.0003508258278399697,0.0008573554932290632,PRUNED
10,10,1.7547258958220482,2026-06-14 16:16:15.397041,2026-06-14 16:17:00.952306,0 days 00:00:45.555265,2.0,0.5,0.477224667185118,0.5881646464687174,0.004995282565478906,0.0019566467383213128,PRUNED
11,11,0.570599690079689,2026-06-14 16:17:00.953838,2026-06-14 16:22:40.349496,0 days 00:05:39.395658,2.0,2.0,0.020996272775403852,0.4373215664704112,0.0010886819566313995,0.00024401105734738054,COMPLETE
12,12,0.9977728351950645,2026-06-14 16:22:40.352126,2026-06-14 16:23:26.971645,0 days 00:00:46.619519,2.0,2.0,0.0014965411144326791,0.4519027279355875,0.0018430621780326105,0.00017927443651078782,PRUNED
13,13,1.2934710681438446,2026-06-14 16:23:26.973149,2026-06-14 16:24:13.462913,0 days 00:00:46.489764,2.0,2.0,0.36847787809818655,0.5575164259329373,0.0019629507473337177,0.0005194052862310155,PRUNED
14,14,2.309689849615097,2026-06-14 16:24:13.463420,2026-06-14 16:24:59.945781,0 days 00:00:46.482361,2.0,2.0,0.14956415505923787,0.42287378216001903,0.03252083564602989,0.0018253395631456148,PRUNED
15,15,1.0048777014017105,2026-06-14 16:24:59.946486,2026-06-14 16:25:45.541875,0 days 00:00:45.595389,2.0,0.5,0.3662582393453112,0.3071731601986736,0.0006467896341871421,0.00027000819387665504,PRUNED
16,16,1.0541623383760452,2026-06-14 16:25:45.543341,2026-06-14 16:26:10.194068,0 days 00:00:24.650727,0.5,2.0,0.028500957700730703,0.4602932719226353,0.003429094240411799,0.0006161929681609956,PRUNED
17,17,0.6007812637835741,2026-06-14 16:26:10.195498,2026-06-14 16:31:39.998563,0 days 00:05:29.803065,2.0,0.5,0.16612201605785687,0.21584428720958293,0.00014314621261301715,0.00010883899111945779,COMPLETE
18,18,2.3032627999782562,2026-06-14 16:31:40.000587,2026-06-14 16:32:25.363299,0 days 00:00:45.362712,2.0,0.5,0.2967558704786937,0.39107169750099724,0.009606968896744039,0.0013062235583056326,PRUNED
19,19,1.1576413810253143,2026-06-14 16:32:25.364745,2026-06-14 16:33:12.001655,0 days 00:00:46.636910,2.0,2.0,0.5503778233751458,0.5182780819037078,0.0005915870832522186,0.00045088084602626464,PRUNED
20,20,1.0100748874247074,2026-06-14 16:33:12.002900,2026-06-14 16:33:41.045437,0 days 00:00:29.042537,1.0,1.0,0.08300969788491196,0.5689354430027626,0.0014581861721308167,0.0031884698873833996,PRUNED
21,21,0.5980088952928782,2026-06-14 16:33:41.046174,2026-06-14 16:39:11.428154,0 days 00:05:30.381980,2.0,0.5,0.17825503112181734,0.15259315534518741,0.00017207746823492699,0.00011122393860471457,COMPLETE
22,22,0.5924746859818697,2026-06-14 16:39:11.430095,2026-06-14 16:44:41.579534,0 days 00:05:30.149439,2.0,0.5,0.1590338275776278,0.12029771041102383,0.00027165121959280453,0.00016776895024820737,COMPLETE
23,23,0.6123102139681578,2026-06-14 16:44:41.581672,2026-06-14 16:50:12.083390,0 days 00:05:30.501718,2.0,0.5,0.1077641078609863,0.09496612093340523,0.0002629144605031276,0.00019027024661872968,COMPLETE
24,24,0.9849666692316532,2026-06-14 16:50:12.085344,2026-06-14 16:50:57.413247,0 days 00:00:45.327903,2.0,0.5,0.008996354412038221,0.1954499687708372,0.0011261357385697027,0.00020038134547355175,PRUNED
25,25,1.330864243209362,2026-06-14 16:50:57.413956,2026-06-14 16:51:21.393946,0 days 00:00:23.979990,0.25,2.0,0.3376709531789539,0.34102136027436536,6.064411374643999e-05,0.0011736979537881932,PRUNED
26,26,0.9537737928330898,2026-06-14 16:51:21.394651,2026-06-14 16:51:45.658507,0 days 00:00:24.263856,0.5,0.5,0.21804440584052795,0.096005123297181,0.00033552837681728704,0.0004047642071238918,PRUNED
27,27,1.110776361078024,2026-06-14 16:51:45.659957,2026-06-14 16:52:30.963227,0 days 00:00:45.303270,2.0,0.5,0.0742738699723113,0.5998992473754207,0.0031106740912541604,0.00023473565664778708,PRUNED
28,28,1.0408832095563412,2026-06-14 16:52:30.963717,2026-06-14 16:53:17.283012,0 days 00:00:46.319295,2.0,2.0,0.13334601433451052,0.42954459585132587,0.0009829023082432201,0.00015396817336890993,PRUNED
29,29,0.7365724630653858,2026-06-14 16:53:17.284487,2026-06-14 16:58:31.770305,0 days 00:05:14.485818,2.0,4.0,0.06255989969296186,0.40116927971300437,0.0005107646749541501,0.0002927101362712137,PRUNED
30,30,1.2978663071990013,2026-06-14 16:58:31.771947,2026-06-14 16:58:55.531796,0 days 00:00:23.759849,0.25,0.25,0.4248158434163922,0.24923187792610357,0.007067260137505129,0.009659170336248125,PRUNED
31,31,0.9548295103013515,2026-06-14 16:58:55.533285,2026-06-14 16:59:40.863708,0 days 00:00:45.330423,2.0,0.5,0.1777944924805399,0.15029607366800787,0.00015185926969158898,0.00010206624637971982,PRUNED
32,32,0.5358200874179602,2026-06-14 16:59:40.865182,2026-06-14 17:05:10.411722,0 days 00:05:29.546540,2.0,0.5,0.20232408708281302,0.11971822770799734,0.00022719201781076618,0.00012775006657174108,COMPLETE
33,33,0.882414449006319,2026-06-14 17:05:10.414558,2026-06-14 17:07:33.889489,0 days 00:02:23.474931,4.0,0.5,0.2748646701944109,0.07761656672231221,0.0003435202059113606,0.00035880962711178413,PRUNED
34,34,1.0400364622473717,2026-06-14 17:07:33.890938,2026-06-14 17:08:03.847556,0 days 00:00:29.956618,1.0,4.0,0.2215182727431008,0.021538723020958106,7.174972457319263e-05,0.00013993112998748552,PRUNED
35,35,1.0735471174120903,2026-06-14 17:08:03.849000,2026-06-14 17:08:50.036127,0 days 00:00:46.187127,2.0,1.0,0.05228279906685242,0.27888161146064394,0.0007609529635986492,0.00022816737106053287,PRUNED
36,36,1.065732553601265,2026-06-14 17:08:50.036842,2026-06-14 17:10:22.993718,0 days 00:01:32.956876,4.0,0.5,0.11741018761789694,0.4894426975557946,0.00020778222164455107,0.002603529594249075,PRUNED
37,37,1.0678738728165627,2026-06-14 17:10:22.995165,2026-06-14 17:11:08.153315,0 days 00:00:45.158150,2.0,0.25,0.20550940746412136,0.11500212830802975,9.382063659744768e-05,0.0006108848783912246,PRUNED
38,38,1.291448324918747,2026-06-14 17:11:08.154838,2026-06-14 17:11:33.215827,0 days 00:00:25.060989,0.5,4.0,0.6535817505478728,0.04637147129324187,4.4066783179290214e-05,0.00014756182922635953,PRUNED
39,39,1.1434734016656876,2026-06-14 17:11:33.217249,2026-06-14 17:12:18.694448,0 days 00:00:45.477199,2.0,0.5,0.3050720901963528,0.1966986287874143,2.0855965173301365e-05,0.0009004687221589743,PRUNED
40,40,1.0037085823714733,2026-06-14 17:12:18.695841,2026-06-14 17:12:47.526593,0 days 00:00:28.830752,1.0,1.0,0.10594218805319212,0.3163890317164125,0.0004994205419077563,0.00410337728357609,PRUNED
41,41,0.5892066583037376,2026-06-14 17:12:47.527403,2026-06-14 17:18:17.401169,0 days 00:05:29.873766,2.0,0.5,0.1904149451318945,0.16046436706560857,0.00021110007940563857,0.00011621829751835096,COMPLETE
42,42,1.0066435858607292,2026-06-14 17:18:17.402709,2026-06-14 17:19:02.646684,0 days 00:00:45.243975,2.0,0.5,0.2599061845401855,0.11947282660578187,0.0002531476744691343,0.00016823491977902957,PRUNED
43,43,1.1288792341947556,2026-06-14 17:19:02.647988,2026-06-14 17:19:48.015578,0 days 00:00:45.367590,2.0,0.5,0.1926770418999608,0.24400828490721177,0.0008974766298778651,0.00013110607335994618,PRUNED
44,44,1.0977035649120808,2026-06-14 17:19:48.017169,2026-06-14 17:21:20.747608,0 days 00:01:32.730439,4.0,0.5,0.05635507539973501,0.05462862529868867,0.0024796171773250725,0.00025125624155775193,PRUNED
